Job_Title,Job_Description,company,location ,Industry,Employment_type,Job Function,Experence_Level
"Analyst, Analytics","Brand: Chico's FAS, Inc-Shared Services
Category: Customer Analytics and Intelligence
Location:
Corporate, Fort Myers, FL

Employment Type: Full Time Regular

Position Objective

This position is responsible for supporting brands and shared services through strategic and ad hoc analyses to provide insights that allows us to make better informed decisions in various areas such as sales forecasting, payroll allocation and key initiative testing & measurement.

Functional Responsibilities
Assists the building of statistical models or mine data at macro level for trends and interprets output to support assigned project workstreams by understanding business needs; identifying analytic requirements; gathering and hygening data; analyzing data to support project goals; evaluating project progress and results; reviewing data results with team members to ensure accuracy; and translating results into specific business actions.
Works cross-functionally to gather insights which will improve marketing efforts.
Assists with the Development and execution of measurement and reporting which accurately reflects business results and informs future decision.
Translates reports and analysis to distill actionable insights; Clearly communicate results.
Monitors and maintains data quality and integrity. Create a process for information maintenance and testing for accuracy.
Maintains awareness of current trends in AIMS solutions with a focus on optimizing the system and requesting enhancements that will improve the system's effectiveness.
Provides project support by ensuring adherence to proper procedures and guidelines or advising on, executing and documenting organizational practices; understanding and communicating working knowledge of organizational best practices.
Part of a team that designs reporting templates to meet business requirements as needed.
Other duties as assigned.

Qualifications
Bachelor's degree preferred, in Statistics, Economics, Analytics, Industrial-Organizational Psychology, Engineering, Mathematics, Computer Science, Information Technology or related field
1-year experience in an analytics or insights related field
Strong Microsoft Office skills
Certificate in business analytics, data mining, or statistical analysis preferred
Preferred Qualification
If in Research/Personalization: 1-year experience with consumer/customer quantitative research, consumer/customer qualitative research, or associate engagement research
If in CRM: 1-year experience with marketing campaign segmentation, targeting design, execution tools, framework.
If in CX/UX: 1-year experience with digital experience analytics (Google, Omniture, etc.)
If in Modeling/Data Science: 1-year experience in analytics or data science in a retail setting
If in Testing: 1-year experience in hypothesis testing

Apply

Customer Analytics and Intelligence Jobs in Corporate at Chico's

In a Customer Analytics and Intelligence role, you can grow your career in a variety of ways at Chico's FAS, Inc. Because we have three brands and hundreds of boutiques across the U.S. and Canada, we are able to leverage talent across the enterprise and throughout North America.

From finance and accounting to technology and merchandising careers, Chico's has corporate Jobs in Corporate for talented professionals to join our team of retail associates who share our commitment to excellence.

Customer Analytics and Intelligence Jobs in Corporate at Chico's can include:

Analytics Analyst - Team members in the Customer Analytics and Intelligence jobs are responsible for supporting brands and shared services through strategic and ad hoc analyses.

With hundreds of boutiques and outlets throughout the U.S. and Canada, as well as an online presence for each of our brands, it takes sophisticated technology, resources and infrastructure to ensure the continued success of our businesses. Apply online today for Customer Analytics and Intelligence Jobs in Corporate at Chico's.

At Chico's, there is no such thing as a typical career path, and we encourage everyone in a Customer Analytics and Intelligence role to take advantage of the many opportunities that exist. Apply online today for Customer Analytics and Intelligence Jobs in Corporate at Chico's.","Chico's FAS, Inc.",,,,,
Junior Business Analyst-1902136,"The Regulatory reporting organization with in Actuarial Information Services is looking for a Business Analyst to join the team! This is a great opportunity to enter into the world or insurance and learn from the ground up. The Business Analyst will have a mentor for their first year to train them on the daily responsibilities and technical requirements of the role. Analyzes, plans, manages, and implements smaller, departmentally focused Workers Compensation Regulatory Reporting tasks with guidance under the direction of a Team Lead

Analyzes, plans, manages, and implements smaller, departmentally focused Workers Compensation Regulatory Reporting tasks with guidance under the direction of a Team Lead
Learns and perform root cause analysis and be able to articulate any identified issues that requires assistance in resolving.
Works with internal and external partners to resolve issue relating to regulator reporting
Independently interacts with customer to define business needs and solve routine problems
Researches, documents, communicate, and records data to support Business Consultants or Team Lead.
Supports delivery of statistical data to stat agents and regulators reporting bodies. This would include ADHOC request, distributional analysis and data inquiries.
Performs data analysis and data profiling on Workers Compensation premium and loss data with assistance from Business Consultants or Team Lead.
Provides recommendations and alternatives to problem resolutions
Possesses moderate business knowledge in assigned business area
Assists in maintaining data mapping documents and other data design artifacts that define business requirements and transformation rules related to Workers Compensation Line of Business
Understands the scope of the project and helps resolve scope questions and issues of low complexity related to own work
Helps resolve scope questions and issues related to Workers Compensation statistical reporting of low complexity
Basic understanding of Workers Compensation
ORACLE SQL (Basic Knowledge)
Some experience with business, technology or data
Experience using industry standard office tools like Microsoft office or Google docs
Communication skills (both verbal and non-verbal)
Interpersonal and influencing skills
Team player
Detail Oriented
Bachelor's Degree in Business Analytics or Mathematics preferred

Equal Opportunity Employer/Females/Minorities/Veterans/Disability/Sexual Orientation/Gender Identity or Expression/Religion/Age

Job Function

Business Anal (non-IT)

Primary Location

United States-Connecticut-Hartford

Schedule

Full-time

Job Level

Individual Contributor

Education Level

Bachelor's Degree (±16 years)

Job Type

Standard

Shift

Day Job

Employee Status

Regular

Overtime Status

Non-exempt

Travel

No

Job Posting

Aug 20, 2019, 1:27:04 PM

Remote Worker Option

No",The Hartford,,,,Business Development Sales,Entry level
Manager Business Analytics and Data Management- Digital eCommerce,"Title: Manager Business Analytics and Data Management- Digital eCommerce

Location: New York, NY

Company Description: Global Retail Brand

JBC is looking for a Manager Business Analytics and Data Management- Digital eCommerce to join a global retail brands Retention & CRM Marketing team. You would be responsible for the segmentation, data analysis, and reporting in support of email and other customer retention communications.

What You Will Be Doing
Drive daily, weekly & monthly reporting for the CRM and customer lifecycle.
Understand key customer segments, uncovering opportunities within the data and working with the team to develop action plans to activate and impact KPIs.
Develop customer-facing tests to maximize customer engagement and lifetime value.
Develop new segmentation and targeting strategies based on customer data and business needs.
Support project scoping to grow available data and assist with data migration between systems, as well as checking for data quality / integrity.
Support implementation of new marketing automation programs (email, push, programmatic direct mail, on-site experiences), using data to personalize/contextualize communications.
Understand data flows & table structures. Monitor data feeds to catch and correct issues.
Gather technical requirements and build data sets to answer business questions
Contribute the continual improvement of the data platform via your observations and knowledge gained from your involvement and KPI' s


What We Want To See
BA degree in Marketing/Communication, Data Science or similar
2+ years online marketing-specific experience, optimally focused on email marketing, database marketing. Relevant agency experience also considered.
Experience with Adobe Campaign or other ESPs (email service provider)
Knowledge of and demonstrated success with implementing best practices in high-volume email marketing, lifecycle marketing and other customer-centric communications.
Required experience with customer databases.
Demonstrated success with data/analytics and project management in CRM/retention marketing.
Understand email fundamentals: HTML, segmentation and performance best practices, CAN-SPAM requirements, data usage, deliverability, etc.",JBCconnect | Creative Technology Talent,"New York City, NY, US",,,,
"Analyst, Insights & Analytics","Starz is seeking an Analyst, Insight & Analytics to support data-driven decision-making. The Analyst will assist with reporting and analysis of consumer, content and product data, including developing new tables and data fields within a Snowflake database environment, developing reports in Tableau, Excel, and PowerPoint, and supporting senior analysts and data scientists in wrangling data and generated advanced analytic solutions.

The role will report into the VP, Business Intelligence & Data Science and is based in New York, NY.

Responsibilities
Support Insights team in efforts to understand customer and content value and communicate these learnings to the business units
Build multi-dimensional cross-platform performance reports/dashboards for company and competitor content
Work closely with other members of Insights & Analytics team to join data sources across verticals, creating a holistic understanding of customers and how they interact with our products
Lead department efforts to source, clean and load datasets into cloud warehouse for analysis and reporting
Respond to a wide variety of ad hoc requests from internal constituents


Required Skills
Strong SQL programming skills
Familiarity with database models and experience working with unstructured data and loading large datasets into databases
Skilled at transforming raw data into actionable columnar datasets
Basic knowledge of statistics and/or machine learning
Knowledgeable about (at least some of) Python, Snowflake, AWS/S3, SageMaker, R, Tableau, Alteryx and Microsoft Office
Good verbal and written communication skills, including explaining the business implications of data analysis/reports and developing data visualizations
Previous experience with media/entertainment and/or subscription businesses is a plus
Minimum of 2 years professional experience and BS degree in Data Science, Computer Science, Mathematics, Statistics or similar


STARZ (www.starz.com), a Lionsgate company (NYSE: LGF.A, LGF.B), is a leading global media and entertainment company that provides premium subscription video programming on domestic U.S. pay television networks and produces and distributes content for worldwide audiences, including its investment in the STARZ PLAY Arabia OTT service.

STARZ is the ultimate destination for obsessable TV, movies and more. Characters who pull you in and stories that stay with you. From bold Original Series to the best movies, whatever you love, STARZ ignites your passions.

STARZ offers a competitive compensation package and an attractive benefits program to all eligible employees including a variety of healthcare plans, dental and vision insurance, 401k, life/disability insurance. Eligible employees will enjoy paid time off in the form of vacation and company holidays.

STARZ is an Equal Opportunity Employer. This means that all applicants will receive consideration for employment regardless of gender, age, race, national origin, disability, color, religion, sexual orientation, gender identity and/or expression, veteran status, or any other characteristic protected by federal, state or local law. In addition, STARZ will provide reasonable accommodations for qualified individuals with disabilities.",Starz,,"Marketing & Advertising,Information Technology & Services,Computer Software",,Other,Entry level
"Business Liaison, Global Supply Chain","The Company

JUUL was founded by former smokers, James and Adam, with the goal of improving the lives of the one billion adult smokers. We envision a world where fewer people use cigarettes, and where people who smoke cigarettes have the tools to reduce or eliminate their consumption entirely, should they so desire.

JUUL's mission is to improve the lives of the world’s one billion adult smokers by driving innovation to eliminate cigarettes. JUUL is the number one US-based vapor product. Headquartered in San Francisco and backed by leading technology investors including Tiger Global, Fidelity Investments and Tao Invest LLC, JUUL Labs is disrupting one of the world’s largest and oldest industries.

We’re an exceptional team with backgrounds in technology, healthcare, CPG and biotech, and we’re growing rapidly to deliver on our mission. We’re actively looking to hire the world’s best scientists, engineers, designers, product managers, supply chain experts, customer service and business professionals.

Role And Responsibilities

JUUL Labs is seeking Business Liaison/Solution Manager, Global Supply Chain to support its rapidly scaling global operation. As a key member of the Global Supply Chain Management (SCM) team, you will partner with leaders across the organization including demand planning, strategic sourcing, manufacturing, process engineering/automation, logistics, and customer service, as well as other external stakeholders, to prioritize and drive the Supply Chain Data Analytics Strategy. This is a high-visibility role that will provide an opportunity to interface with the top executives in the Global Supply Chain organization. This role will work with cross-functional teams, comprised of senior leadership, process owners, Strategic Program Managers, IT Architects, and analysts to define problems, understand impact, design/deploy new solutions, and actively manage lifecycle of existing solutions. You will also partner with the operations teams and IT to design effective performance dashboards and work towards seamless automation of data delivery systems. This will include all KPI’s from daily operations management systems to senior leadership performance metrics reporting.

This role will foster transformational culture with rapid prototyping, agile methods, and influence common architecture across Supply Chain Strategy and IT partners with the goal of simplifying, enhancing capabilities, and driving productivity. You will take ownership of multi-year architecture and solution roadmap.

Specific Responsibilities May Include
Developing, implementing, and maturing the governance structure to monitor, align, and support execution of Supply Chain Analytics Strategy
Monitoring the health of the SCM Data project portfolio
Tracking project adherence to scope, schedule, and budget parameters
Provide technical leadership deploying data products, lead training, and cultivate the operational technology (OT) community across JUUL’s Supply Chain
Partner and lead teams to enable, adoption, and retire solutions (where needed) to realize productivity across Material Planning, Inventory Management, Delivery and Cost teams. Co-develop and influence platform evolution and long-term platform strategy
Collaborate with IT and Supply Chain Strategy in support of what’s best for the business
Mentor junior Solution Managers, Business Analysts, and Data Scientists to understand system architecture, solution development approach, and best practices


Personal And Professional Qualifications

The ideal candidate has 10+ years of relevant Business Analytics and Solution Management experience in a challenging, fast-paced global manufacturing or logistics environment, with a demonstrated ability to coordinate effort between multiple cross-functional teams, simultaneously. The qualifications that make a candidate successful in this role include:
Demonstrated interest in CPG, tech, or medical device industries
General understanding of the interplay of data and processes supporting demand planning, strategic sourcing, manufacturing, process engineering/automation, logistics, and customer service
Entrepreneurial spirit and a passion for people, implementing smart data products, and working collaboratively
Outstanding written and oral communication skills
Extremely high level of organization, structure, efficiency, and attention to detail
Superior problem-solving skills and ability to think critically, incorporating sound judgement and business acumen to understand, prioritize, and analyze data needs in support of the development of Supply Chain processes and capabilities
Highly professional demeanor and ability to make clear recommendations that balance strategic direction and guidance with tactical details and experience
Superior knowledge of data project management techniques and best practices
High proficiency in Excel, PowerPoint, and Project or related project management softwareHighest ethical standards, integrity, authenticity, credibility and character
Self-driven individual, demonstrating continuous learning and creativity, and is naturally collaborative


Education
Bachelor's degree in quantitative disciplines: computer science, applied mathematics, statistics, operations research, management of information systems, engineering, and/or equivalent is preferred.


Juul Labs Perks & Benefits
A place to grow your career. We’ll help you set big goals - and exceed them
Work with talented, committed and supportive teammates
Equity and performance bonuses. Every employee is a stakeholder in our success
Boundless snacks and drinks
Cell phone subsidy, commuter benefits and discounts on JUUL products
Excellent medical, dental and vision benefits
Work in the heart of San Francisco, one of the world’s greatest cities


JUUL Labs is proud to be an equal opportunity employer and is committed to creating a diverse and inclusive work environment for all employees and job applicants, without regard to race, color, religion, sex, sexual orientation, age, gender identity or gender expression, national origin, disability or veteran status. JUUL Labs also complies with applicable employment eligibility verification requirements. All applicants must have the authorization to work for JUUL Labs in the country of employment.

Vapor, JUUL, Work Culture, Fast Paced, Start-up, Growth, Vape, Technology, Software, Hardware, Consumer Electronics, Manufacturing, Design, Product, Disruptive, Revolutionary, Cutting Edge, App, Android, eCommerce, B2C, San Francisco, California, Bay Area, CA, IoT, San Jose, Los Angeles, Dallas, Texas, Frisco, TX
Seniority Level
Entry level
Industry
Electrical & Electronic Manufacturing Computer Software Internet
Employment Type
Full-time
Job Functions
Management Manufacturing",JUUL Labs,"Dallas, TX, US","Electrical & Electronic Manufacturing,Computer Software,Internet",Full-time,Management Manufacturing,Entry level
Analyst of Advanced Analytics,"Overview

About AramarkAramark (NYSE: ARMK) proudly serves Fortune 500 companies, world champion sports teams, state-of-the-art healthcare providers, the world's leading educational institutions, iconic destinations and cultural attractions, and numerous municipalities in 19 countries around the world. Our 270,000 team members deliver experiences that enrich and nourish millions of lives every day through innovative services in food, facilities management and uniforms. We operate our business with social responsibility, focusing on initiatives that support our diverse workforce, advance consumer health and wellness, protect our environment, and strengthen our communities. Aramark is recognized as one of the World's Most Admired Companies by FORTUNE, as well as an employer of choice by the Human Rights Campaign and DiversityInc. Learn more at www.aramark.com or connect with us on Facebook and Twitter.

Description

Position Objective

As part of the Analytics Center of Excellence, the ""Analyst of Advanced Analytics"" will support the business strategies by providing analytical services to support their various initiatives. In this role, the individual will support the design and implementation of short and long term strategies and tactics to develop an analytics platform to support the business to enable an insights/analytics-driven decision making process. This individual will own relationships and lead tracking, analysis and results reporting of various initiatives within Aramark to support management decisions and strategy development.

This individual will work collaboratively across numerous functions, including Operations, Human Resources, Marketing, Business Development, Finance, Information Technology, Culinary, and Retail teams in our consumer facing businesses.

Responsibilities
Partner with our various businesses to support their efforts to grow revenues and control costs
Translate data into action and push out meaningful insights to our individual business units
Develop approaches and build models to optimize labor, food and other direct costs through analytics and statistical approaches
Build models to support organic growth initiatives such as pricing, driving volume and improving retention
Build test and learn models to drive revenue from ""other"" levers such as menu mix, menu board designs and communication programs
Discover new opportunities to optimize the business through analytics and statistical modeling.
Identify relevant external data to help tell ""The Story"" and augment our analytical models to achieve greater impact
Leverage existing data warehouses to develop business intelligence reports and analysis that supports the Analytics team's strategy
Think strategically and recognize opportunities
Have a ""hands-on"" involvement with the analysts
Serve as a key member of various project teams of cross-functional resources to implement analytics strategies – with internal and external partners.
Effectively partner with internal or external resources, with expertise in statistical and predictive modeling, to analyze and look for patterns within customer behavior and/or business performance data and summarize findings.
Perform trend analysis, predictive analytics and data mining to provide actionable insights that inform strategic and tactical decisions and lead to improved consumer experience and business results.
Qualifications

Background / Experience
Bachelor's degree in Statistics, Computer Science, Economics, Mathematics, Operations Research, Engineering or related field.
Minimum 1 year of experience in Business Analytics, Insights Data Modeling or in related disciplines.
Be able to work independently and collaboratively
Excellent interpersonal skills: collaborating, networking, influencing; able to work effectively in virtual international and cross-functional teams
Ability to program in SQL, R, SAS, SPSS or Python
Comfortable working with large, complex data sources
Experience in data mining and building data models
Experience in building predictive models
Experience with test & learn methodologies
Strong organizational, project management and time management skills
Excellent analytical skills with demonstrated ability to solve problems
Ability to present complicated analytical material in a concise and compelling manner to a non-technical audience
Ability to work with large transactional databases across multiple platforms.
Experience with BI tools a plus. Ex: (QlikView, Tableau)
Must have advanced proficiency in Microsoft Office tools such as: Excel, Power Point and Access
Excellent communication skills: clear oral and written skills; effective questioning; active listening
Seniority Level
Entry level
Industry
Food & Beverages Hospital & Health Care Hospitality
Employment Type
Full-time
Job Functions
Information Technology",Aramark,,"Food & Beverages,Hospital & Health Care,Hospitality",Full-time,Information Technology,Entry level
AI & Analytics - Data Scientist,"Fujitsu is the leading Japanese information and communication Technology Company and a leading provider of IT products and services including hardware, software, networking and business solutions to customers in more than 100 countries. We are known for our ability to harness the power of IT for our clients and to build innovative practices and solutions. At Fujitsu, you will find a dynamic work environment with multidisciplinary teams involved in stimulating projects. Fujitsu is where you can pursue your full career potential. We enable our employees to grow as individuals, mature as industry professionals and proudly succeed as key members of the Fujitsu team.
The Data, Analytics and AI consultant will be responsible for identifying, developing and delivering customer engagements in the fields of Data, Analytics, and AI across multiple industries. Typical responsibilities will be pre-sales and delivery of strategy, design and implementation consulting services in the areas of Data, Analytics and AI. The day-to-day work include preparing pre-sale collateral, conducting strategy workshops, creating demos, architecting new solutions, and leading the design and implementation of Data, Analytics and AI solutions and products for clients across multiple industries.

Key Accountabilities
Cross-industry consulting in the areas of Data, Analytics, AI, and Cloud solutions
Traveling to client sites and sales prospects as required, up to 70%
Leading the development of processes for ingestion and processing multi-sourced structured and un-structured data in rest and in motion, on premises and on the cloud using SQL, Kafka, Scoop, Flume, HDFS, Hive, HBase, Impala, Spark, Python, and other evolving tools and technologies
Developing and validating business stakeholders' conceptual data models (including socializing and implementing logical and physical data warehouses, data marts, cloud and unstructured data storage), integrating new and existing data sources and metadata (including business rules, definitions, attributes, etc.) to deliver analytics requirements
Building data storage solutions on premises and on the cloud - data warehouses, data marts, noSQL databases, Hive and Impala schemas
Building data workflows, monitoring and managing jobs and resources
Scripting in Unix / Linux shells and Microsoft Azure PowerShell
Working with evolving data, analytics, and AI technologies like Hadoop and Spark
Working with evolving Microsoft Azure and Amazon Web Services (AWS) cloud technologies
Delivering solutions to customers quickly (including Proof of Concepts / Proof of Value)
Working in collaborative and agile team environment with changing and ambiguous requirements
Handling a variety of responsibilities under pressure and functioning independently
Communicating in consultative way, with confidence and integrity with clients and peers
Conveying complex technical concepts to business users
Rapidly learning and implementing new technologies and tools
Identifying, developing and evolving repeatable data solutions aligned to market/customer needs
Ensuring customer satisfaction and reference ability
Required Skills And Experience
Bachelor's degree from an accredited college/university in Computer Science, Mathematics, AI, Operations Research, Data Science, Engineering, or related fields
Minimum 5-8 years of professional Data, Analytics, and AI experience
Minimum 5-8 years of proven experience working with structured and unstructured data technologies to ingest, process, model, visualize and report on structured and un-structured data in rest and in motion using Hadoop, Kafka, Spark, Microsoft Azure and/or Amazon Web Services (AWS)
Must have experience in creating and delivering pre-sale and delivery presentations and leading client facing communications
Prefered track record with a Blue Chip consulting firm or a System Integrator driving client engagements focused on Data and Analytics
Prefered experience in Operations Research and Artificial Intelligence (AI) end to end projects
Desired Skills
Master's degree from an accredited college/university in Computer Science, Mathematics, Operations Research, Data Science, Engineering, or related fields
At least 3 years of experience in Python coding
At least 1 year of experience in Spark (Scala and Java) coding
Minimum 3 years of experience in Hive, HBase, Impala coding
Minimum 3 years of experience in UNIX / Linux shell scripting
Experience with Microsoft Azure and / or AWS
Experience with Master Data Management solutions
At least 5 years of experience in SQL coding
Operations Research hands on experience
Artificial Intelligence hands on experience
Fujitsu is an Equal Opportunity/Affirmative Action Employer of Minorities, Females, Individuals with Disabilities and Protected Veterans",Fujitsu Americas,"Richardson, TX, US",,,,
Agile Business Analytics Project Manager,"Duration:6-6 month(s)

Description/Comment

The Agile Analytics Project Manager will be responsible for the management of in-flight analytics projects, as well as evaluation of future projects and monitoring of deployed solutions for the utility enterprise. The responsibilities for this position include overseeing the execution of analytics use cases, executive level project status reporting, management of the analytics use case portfolio and coordination of both analytics and business resources to ensure successful use case prosecution.

Additional Job Details

Local candidates only
Bachelor's degree or higher with at least 7+ years project manager experience
Experience in Utilities Industry is a plus
PMP preferred
Agile project management preferred
Excellent customer-facing skills
Excellent communication skills (written and oral)
Experience with Jira a plus
If you are interested please forward your resume to sharalr@lancesoft.com/ Sushmap@lancesoft.com","LanceSoft, Inc.","Woodland, TN, US",,,,
Business Analytics Lead,"Business Analytics Lead

San Francisco

Strategy & Analytics – Analytics

Full-time

Fleetsmith puts the manual parts of device management on autopilot — deploying new devices, inventory, patching, security and compliance enforcement — so IT teams can take on more interesting, valuable, and rewarding work.

Our product vision, design-forward thinking and world class engineering have put us at the forefront of the space. We’re excited to grow our team so we can continue to raise the bar for what people expect out of a world-class device management product.

As a Business Analytics Lead at Fleetsmith, you’ll be an integral part of setting direction for our rapidly growing business. You’ll work with others to set analytics strategy for the entire company and partner with business leadership by providing insight that will inform how we scale and run the business. This is a highly dynamic role that touches many different parts of the business, so you’ll use a broad set of analytical skills and have extensive strategic impact. You’ll also have the opportunity to build out and manage a world-class business analytics team as Fleetsmith scales.

Who you are

You have 4+ years of relevant experience in a business-focused analytical role, preferably at a B2B SaaS company
You have experience in hiring and leading a team of analysts
You have the technical skills you need to perform impactful analysis and be a technical leader for your team:
Excel, SQL expertise required
Experience doing data science work in Python or R is a plus
You have experience running A/B tests and have a strong foundation in statistics
You’re a great written, visual, and oral communicator and can tell stories with data
You have a strong business sense and can break big questions down into manageable pieces
You have some familiarity with the principles of data engineering
You’re results-oriented and motivated by seeing the business grow

What you’ll do

Work closely with analysts and company leadership to build data foundations and set Fleetsmith’s analytics strategy
Partner with business leadership to build a culture of data-informed decision making through setting frameworks for metrics, experimentation, and forecasting
Identify key revenue opportunities by leading deep analysis across our business and spotting areas for improvement
Lead the process of building models for LTV, lead scoring, and other key business signals
Build a team of business analysts to scale with Fleetsmith’s rapid growth

Who we are

We’re highly collaborative. This is something every company seems to say, but everyone who has joined Fleetsmith has been consistently blown away at how collaborative of a company we are. We actually work together across teams at Fleetsmith. And it’s beautiful.
We’re extremely product-driven. We’re focused on building a product that turns things that were previously downright painful into experiences that are legitimately delightful. As you might imagine, this is really hard to execute on. Which brings us to the next point…
We’re passionate about what we do, and we strive to be world class in each of our domains—regardless of whether that’s in EPD or business…. but that said;
We have a culture of intellectual curiosity and playfulness. We’re not stoic. We don’t take ourselves too seriously, and know how to poke fun at ourselves.
We have have strong values around clear, effective, professional communication. Among other things, we train all employees on how to give and receive effective feedback most effectively. We understand strong communication is a competitive advantage.
We pair an idealistic vision for the future with incredible respect and rigor around execution. We realize the best ideas are worthless if the execution doesn’t live up to the dream. We set ambitious goals and measure our progress against them using OKRs.
We believe a competition of ideas, paired with low ego, leads to the best outcomes. We value and encourage evidence based debates.

Who you'll be working with

This is a highly cross-functional role — you’ll be working with leadership from across the business on a regular basis, as well as with analysts from throughout the company!

Our commitment to diversity

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Closing thoughts

If you're excited about this role and you think you've got the chops, you should apply. Finally and most importantly—to prove you read this job description, please include a smiley face :) in front of your name when you apply, and also include a short cover letter.

We actually read the cover letter, so please don't just do a copy/paste job—we'll be able to tell :)",Fleetsmith,,,,,
"Senior Manager, Business Analytics - Sales Force","Summary Of Major Responsibilities

This position is responsible for developing the sales force analytics capability at Exact Sciences using customer-level promotion response data, salesforce interaction data, profile data and other information. This position is responsible for collaborating with internal stakeholders and external partners to measure and optimize the effectiveness of salesforce promotion. This position will assess and optimize the impact of the salesforce when they employ specific tactics, strategies, and messages. This role will also complete additional ad hoc analyses as needed by the business.

Essential Duties And Responsibilities
Develop and drive proactive data-driven insights and make recommendations to optimize salesforce promotion and communication with HCPs, as well as internal reporting with key stakeholders such as sales and marketing leadership
Collaborate with marketing and sales to understand the objectives, content, and strategy of promotion and develop key business questions surrounding sales-force promotion
Design, apply, and interpret statistical models that help stakeholders measure and optimize promotional effectiveness
Design custom analysis and proactively synthesize and communicate data-driven insights and recommendations to key stakeholders (Sales, Marketing, Multichannel Customer Excellence, FP&A) to optimize and inform future promotions
Develop sales force dashboards to measure and guide field performance in collaboration with operational, functional, and end-user stakeholders
Develop and implement key performance indicators based on stated corporate priorities to measure and ensure accountability among salesforce representatives
Design and implement operational best practices for the design, maintenance, and distribution of salesforce reports, dashboards, and recurring analyses
Partner with relevant cross-functional groups to ensure that essential data is available to internal and external stakeholders and leadership to assess the impact

Qualifications

Minimum Qualifications
Bachelor's degree required; Master's degree a plus
At least 8 years’ experience working in a commercial/marketing/multi-channel insights capacity preferably gathering and analyzing transactional quantitative data
Strong understanding of advanced promotion optimization methods including segmentation, promotional response, market mix modeling, regression analysis and predictive modeling
Excellent vendor management skills, including demonstrable experience scoping work, appropriately resourcing a vendor team, roadmapping/planning to business priorities and managing budget
Strong computer aptitude and ability to learn systems quickly
Functional knowledge of statistical programming and/or query languages (Python, SQL, R) preferredStrong attention to detail, with a quality-focused mindset
Moderate experience with the Microsoft Office suite of programs required
Authorization to work in the United States without sponsorship

Preferred Qualifications
Biotech/pharma experience preferred
Consulting experience and skill set strongly preferred
Strong understanding of marketing and multi-channel (relationship marketing and digital) execution, KPIs and associated data; statistical methods and testing; and test/control design; understanding of sales promotion strategy and execution also desired

We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to age, color, creed, disability, gender identity, national origin, protected veteran status, race, religion, sex, sexual orientation, and any other status protected by applicable local, state or federal law. Applicable portions of the Company’s affirmative action program are available to any applicant or employee for inspection upon request.

Options

Apply for this job online Apply

Share

Email this job to a friend Refer

Sorry the Share function is not working properly at this moment. Please refresh the page and try again later.

Share on your newsfeed

Socialize this job opportunity to a friend, colleague, or family member:",Exact Sciences,,"Information Technology & Services,Medical Device,Hospital & Health Care",,Other,Entry level
